"Time","images_score_v2.lance / _indices / get","images_v6.lance / _indices / get","manual_image_appraisal_v1.lance / _indices / get","manual_skeet_appraisal_v1.lance / _indices / get","images_score_v2.lance / _indices / list","images_score_v2.lance / _transactions / list","images_score_v2.lance / _transactions / put","images_score_v2.lance / _versions / get_range","images_v6.lance / _versions / get_range","images_score_v2.lance / _versions / get","images_v6.lance / _versions / get","manual_image_appraisal_v1.lance / _versions / get","manual_skeet_appraisal_v1.lance / _versions / get","validate_v1.lance / _versions / get","images_score_v2.lance / _versions / head","images_score_v2.lance / _versions / list","images_v6.lance / _versions / list","manual_image_appraisal_v1.lance / _versions / list","manual_skeet_appraisal_v1.lance / _versions / list","validate_v1.lance / _versions / list","images_score_v2.lance / _versions / put","images_score_v2.lance / data / get","images_v6.lance / data / get","images_score_v2.lance / data / list","images_score_v2.lance / data / put","images_score_v2.lance / other / list","images_score_v2.lance /  / get_range","images_v6.lance /  / get_range","images_score_v2.lance /  / get","images_v6.lance /  / get","manual_image_appraisal_v1.lance /  / get","manual_skeet_appraisal_v1.lance /  / get","validate_v1.lance /  / get","images_score_v2.lance /  / head","images_score_v2.lance /  / list","images_v6.lance /  / list","manual_image_appraisal_v1.lance /  / list","manual_skeet_appraisal_v1.lance /  / list","validate_v1.lance /  / list","images_score_v2.lance /  / put"
1777513560000,10.666666666666666,10.666666666666666,0,0,0,0,5.333333333333333,20350.649133333332,1.3333333333333333,20350.666666666664,1.3333333333333333,0,0,0,0,30.666666666666664,17.333333333333332,6.666666666666666,6.666666666666666,6.666666666666666,5.333333333333333,16,114.66666666666666,0,2.6666666666666665,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513620000,5.333303703868312,5.333303703868312,0,0,0,0,2.666651851934156,20350.53608035511,1.333325925967078,20350.553608035512,1.333325925967078,0,0,0,0,18.666562963539093,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,9.333281481769546,69.33294815028806,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6666296298353895,5.333303703868312,5.333303703868312,5.333303703868312,5.333303703868312,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513860000,5.333244445925902,5.333244445925902,0,0,0,0,2.666622222962951,0,1.3333111114814755,0,1.3333111114814755,0,0,0,0,15.999733337777705,10.666488891851804,5.333244445925902,5.333244445925902,5.333244445925902,2.666622222962951,11.999800003333279,91.99846669222181,0,1.3333111114814755,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513920000,5.333244445925902,5.333244445925902,0,0,0,0,2.666622222962951,0,1.3333111114814755,0,1.3333111114814755,0,0,0,0,15.999733337777705,10.666488891851804,5.333244445925902,5.333244445925902,5.333244445925902,2.666622222962951,11.999800003333279,91.99846669222181,0,1.3333111114814755,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513980000,50.66582223629607,10.666488891851804,0,0,0,0,2.666622222962951,1.3333111114814755,2.666622222962951,1.3333111114814755,2.666622222962951,0,0,0,0,18.66635556074066,13.333111114814756,5.333244445925902,5.333244445925902,5.333244445925902,2.666622222962951,17.33304444925918,97.33171113814771,0,1.3333111114814755,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514040000,51.99971111271604,11.999933333703702,0,0,0,0,2.666651851934156,1.333325925967078,2.666651851934156,1.333325925967078,2.666651851934156,0,0,0,0,18.666562963539093,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,9.333281481769546,33.33314814917695,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514100000,57.33301481658435,17.333237037572015,0,0,0,0,5.333303703868312,1.333325925967078,3.999977777901234,1.333325925967078,3.999977777901234,0,0,0,0,30.666496297242794,19.99988888950617,6.6666296298353895,6.6666296298353895,6.6666296298353895,5.333303703868312,15.999911111604936,58.666340742551434,0,2.666651851934156,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514160000,11.999933333703702,11.999933333703702,0,0,0,0,5.333303703868312,0,2.666651851934156,0,2.666651851934156,0,0,0,0,27.99984444530864,17.333237037572015,6.6666296298353895,6.6666296298353895,6.6666296298353895,5.333303703868312,10.666607407736624,53.333037038683116,0,2.666651851934156,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514220000,5.333333333333333,5.333333333333333,0,0,0,0,2.6666666666666665,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,6.666666666666666,25.333333333333332,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514580000,45.33333333333333,5.333333333333333,0,0,0,0,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0,5.333333333333333,5.333333333333333,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514640000,45.33308148288065,5.333303703868312,0,0,0,0,0,1.333325925967078,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0,5.333303703868312,5.333303703868312,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514700000,45.33308148288065,5.333303703868312,0,0,0,0,0,1.333325925967078,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0,5.333303703868312,5.333303703868312,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514760000,6.6666296298353895,6.6666296298353895,0,0,0,0,2.666651851934156,0,1.333325925967078,0,1.333325925967078,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,3.999977777901234,27.99984444530864,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514820000,6.666666666666666,6.666666666666666,0,0,0,0,5.333333333333333,0,2.6666666666666665,0,2.6666666666666665,0,0,0,0,28,17.333333333333332,6.666666666666666,6.666666666666666,6.666666666666666,5.333333333333333,10.666666666666666,74.66666666666666,0,2.6666666666666665,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514880000,6.666666666666666,6.666666666666666,0,0,0,0,5.333333333333333,0,2.6666666666666665,0,2.6666666666666665,0,0,0,0,28,17.333333333333332,6.666666666666666,6.666666666666666,6.666666666666666,5.333333333333333,10.666666666666666,74.66666666666666,0,2.6666666666666665,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777514940000,0,0,0,0,0,0,2.666637037366251,0,1.3333185186831256,0,1.3333185186831256,0,0,0,0,15.999822224197507,10.666548149465005,5.333274074732502,5.333274074732502,5.333274074732502,2.666637037366251,6.666592593415627,46.6661481539094,0,1.3333185186831256,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515060000,5.333274074732502,5.333274074732502,0,0,0,0,2.666637037366251,0,1.3333185186831256,0,1.3333185186831256,0,0,0,0,15.999822224197507,10.666548149465005,5.333274074732502,5.333274074732502,5.333274074732502,2.666637037366251,9.33322963078188,69.33256297152253,0,1.3333185186831256,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515120000,5.333303703868312,5.333303703868312,0,0,0,0,2.666651851934156,0,1.333325925967078,0,1.333325925967078,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,9.333281481769546,69.33294815028806,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515180000,50.66638518674896,10.666607407736624,0,0,0,0,2.666651851934156,1.333325925967078,2.666651851934156,1.333325925967078,2.666651851934156,0,0,0,0,18.666562963539093,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,14.666585185637858,74.66625185415637,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515240000,45.33308148288065,5.333303703868312,0,0,0,0,0,2.666651851934156,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0,5.333303703868312,5.333303703868312,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515300000,45.33333333333333,5.333333333333333,0,0,0,0,0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0,5.333333333333333,5.333333333333333,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515360000,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515540000,57.33301481658435,13.333259259670779,0,0,0,0,3.999977777901234,0,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,18.666562963539093,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,3.999977777901234,3.999977777901234,51.99971111271604,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515600000,57.33301481658435,13.333259259670779,0,0,0,0,3.999977777901234,0,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,18.666562963539093,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,3.999977777901234,3.999977777901234,51.99971111271604,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515660000,57.33301481658435,13.333259259670779,0,0,0,0,3.999977777901234,0,1.333325925967078,1.333325925967078,1.333325925967078,0,0,0,0,18.666562963539093,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,3.999977777901234,3.999977777901234,51.99971111271604,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515720000,0,0,0,0,0,0,2.6666666666666665,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,6.666666666666666,69.33333333333333,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515780000,45.33333333333333,5.333333333333333,0,0,0,0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,12,74.66666666666666,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515840000,45.33333333333333,5.333333333333333,0,0,0,0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,12,74.66666666666666,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515900000,45.33333333333333,5.333333333333333,0,0,0,0,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0,5.333333333333333,5.333333333333333,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777515960000,6.666666666666666,6.666666666666666,0,0,0,0,2.6666666666666665,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,4,28,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516020000,6.666555557407376,6.666555557407376,0,0,0,0,2.6666222229629506,0,1.3333111114814753,0,1.3333111114814753,0,0,0,0,15.999733337777704,10.666488891851802,5.333244445925901,5.333244445925901,5.333244445925901,2.6666222229629506,3.999933334444426,27.999533341110983,0,1.3333111114814753,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516080000,6.666555557407376,6.666555557407376,0,0,0,0,2.6666222229629506,0,1.3333111114814753,0,1.3333111114814753,0,0,0,0,15.999733337777704,10.666488891851802,5.333244445925901,5.333244445925901,5.333244445925901,2.6666222229629506,3.999933334444426,27.999533341110983,0,1.3333111114814753,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516140000,5.333244445925901,5.333244445925901,0,0,0,0,3.999933334444426,0,1.3333111114814753,0,1.3333111114814753,0,0,0,0,18.666355560740655,10.666488891851802,5.333244445925901,5.333244445925901,5.333244445925901,3.999933334444426,7.999866668888852,70.66548890851818,0,1.3333111114814753,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516200000,5.333333333333333,5.333333333333333,0,0,0,0,4,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,18.666666666666664,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,4,8,70.66666666666666,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516260000,5.333333333333333,5.333333333333333,0,0,0,0,4,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,18.666666666666664,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,4,8,70.66666666666666,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516320000,5.333333333333333,5.333333333333333,0,0,0,0,2.6666666666666665,0,1.3333333333333333,0,1.3333333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,9.333333333333332,92,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516380000,50.666666666666664,10.666666666666666,0,0,0,0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,14.666666666666666,97.33333333333333,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516440000,50.666666666666664,10.666666666666666,0,0,0,0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,2.6666666666666665,14.666666666666666,97.33333333333333,0,1.3333333333333333,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516500000,52,18.666666666666664,0,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,20402.666666666664,2.6666666666666665,20402.666666666664,2.6666666666666665,0,0,0,1.3333333333333333,14.666666666666666,12,4,4,4,1.3333333333333333,9.333333333333332,57.33333333333333,1.3333333333333333,0,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516560000,12,13.333333333333332,0,0,1.3333333333333333,1.3333333333333333,4,20401.333333333332,1.3333333333333333,20401.333333333332,1.3333333333333333,0,0,0,1.3333333333333333,21.333333333333332,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,4,4,52,1.3333333333333333,1.3333333333333333,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516620000,11.999933333703702,13.333259259670779,0,0,1.333325925967078,1.333325925967078,3.999977777901234,20401.21999322226,1.333325925967078,20401.21999322226,1.333325925967078,0,0,0,1.333325925967078,21.333214815473248,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,3.999977777901234,3.999977777901234,51.99971111271604,1.333325925967078,1.333325925967078,3.999977777901234,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516680000,5.333303703868312,0,0,0,0,0,2.666651851934156,0,0,0,0,0,0,0,0,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,0,0,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516860000,0,0,0,0,0,0,2.666651851934156,0,1.333325925967078,0,1.333325925967078,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,6.6666296298353895,69.33294815028806,0,1.333325925967078,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516920000,5.333244445925902,5.333244445925902,0,0,0,0,5.333244445925902,0,2.666622222962951,0,2.666622222962951,0,0,0,0,27.999533341110986,17.33304444925918,6.666555557407378,6.666555557407378,6.666555557407378,5.333244445925902,15.999733337777705,161.33064448925853,0,2.666622222962951,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777516980000,50.66610370995877,10.666548149465005,0,0,0,0,5.333274074732502,1.3333185186831256,3.9999555560493767,1.3333185186831256,3.9999555560493767,0,0,0,0,30.66632592971189,19.999777780246884,6.666592593415627,6.666592593415627,6.666592593415627,5.333274074732502,21.33309629893001,166.6648148353907,0,2.666637037366251,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
